,original_id,sequence_length
0,P78527,4128
1,P42345,2549
2,Q5S007,2527
3,P08922,2347
4,Q5VT25,1732
5,Q9UM73,1620
6,Q04912,1400
7,P08581,1390
8,O75116,1388
9,P06213,1382
10,Q99683,1374
11,P08069,1367
12,P35916,1363
13,P35968,1356
14,Q13464,1354
15,P17948,1338
16,Q8N4C8,1332
17,Q96RG2,1323
18,Q15303,1308
19,P04626,1255
20,O95819,1239
21,Q9H2G2,1235
22,P00533,1210
23,Q9H2X6,1198
24,P29597,1187
25,P42684,1182
26,P23458,1154
27,O60674,1132
28,P00519,1130
29,P52333,1124
30,Q02763,1124
31,P07949,1114
32,P09619,1106
33,P80192,1104
34,P48736,1102
35,P16234,1089
36,P42338,1070
37,P42336,1068
38,P29323,1055
39,Q05397,1052
40,O00329,1044
41,Q07912,1038
42,Q14289,1009
43,Q7L7X3,1001
44,Q12866,999
45,P36888,993
46,P54760,987
47,Q16513,984
48,P10721,976
49,P29317,976
50,P07333,972
51,O00444,970
52,Q02779,954
53,Q16512,942
54,Q9H0K1,926
55,Q15139,912
56,P30530,894
57,O94806,890
58,Q06418,890
59,Q9BZL6,878
60,P29376,864
61,Q16584,847
62,Q9Y4K4,846
63,P51957,841
64,Q16288,839
65,P07332,822
66,P11362,822
67,P16591,822
68,Q16620,822
69,P21802,821
70,Q12851,820
71,Q9UBF8,816
72,P22607,806
73,O75582,802
74,P22455,802
75,Q9NYL2,800
76,P04629,796
77,Q7KZI7,788
78,Q8TDC3,778
79,O75676,772
80,P15056,766
81,Q13627,763
82,Q13237,762
83,O14920,756
84,P27448,753
85,Q96L34,752
86,O15111,745
87,O15075,740
88,P51812,740
89,Q02156,737
90,Q15418,735
91,Q9UHD2,729
92,O00418,725
93,Q14164,716
94,P51617,712
95,Q04759,706
96,P05129,697
97,P24723,683
98,Q05655,676
99,P51813,675
100,P17252,672
101,P05771,671
102,Q13976,671
103,Q13554,666
104,O60285,661
105,Q06187,659
106,Q96SB4,655
107,Q14680,651
108,P04049,648
109,P53667,647
110,P30291,646
111,Q9H4B4,646
112,P43405,635
113,Q9Y463,629
114,Q08881,620
115,P43403,619
116,Q8NE63,616
117,P53350,603
118,P41743,596
119,Q05513,592
120,O96013,591
121,P34947,590
122,O43781,588
123,Q96RR4,588
124,O00311,574
125,Q9UGJ0,569
126,Q13131,559
127,Q13555,558
128,O15530,556
129,P54646,552
130,Q13153,545
131,O96017,543
132,P07947,543
133,P06241,537
134,P12931,536
135,P09769,529
136,Q9UBE8,527
137,P08631,526
138,P23443,525
139,Q13177,524
140,Q9NR20,520
141,P07948,512
142,P06239,509
143,Q04771,509
144,P42679,507
145,P42685,505
146,P51451,505
147,Q9BWU1,502
148,P49760,499
149,Q13557,499
150,Q13188,491
151,Q9UGI9,489
152,Q9H3Y6,488
153,P49759,484
154,P49840,483
155,Q9UBS0,482
156,P31751,481
157,Q9HAZ1,481
158,P31749,480
159,Q9Y243,479
160,Q9UQM7,478
161,O14757,476
162,Q16566,473
163,Q8IW41,473
164,P41279,467
165,Q9BUB5,465
166,Q9HBH9,465
167,P49336,464
168,P53779,464
169,Q9NWZ3,460
170,O43293,454
171,Q13882,451
172,P41240,450
173,Q9Y6M4,447
174,P51955,445
175,Q15118,436
176,O00141,431
177,P45983,427
178,Q9HBY8,427
179,P45984,424
180,Q9HCP0,422
181,P49841,420
182,P49674,416
183,Q9P289,416
184,P48730,415
185,P78368,415
186,Q9UEE5,414
187,P15735,406
188,P11309,404
189,O14965,403
190,P36507,400
191,P49137,400
192,Q02750,393
193,P68400,391
194,Q8IU85,385
195,Q16644,382
196,P27361,379
197,P50750,372
198,Q14012,370
199,P53778,367
200,Q9BXA7,367
201,O15264,365
202,Q15759,364
203,P28482,360
204,Q16539,360
205,P51817,358
206,Q96PF2,358
207,P17612,351
208,P22612,351
209,P22694,351
210,P19784,350
211,P50613,346
212,Q96GD4,344
213,P48729,337
214,P52564,334
215,P54619,331
216,Q00534,326
217,Q86V86,326
218,Q96KB5,322
219,Q9HC98,313
220,Q9P1W9,311
221,Q15078,307
222,P11802,303
223,P24941,298
224,P06493,297
225,Q00535,292
226,O43741,272
227,Q9Y478,270
228,P67870,215
