cids,>O00141,>O00311,>O00418,>O00444,>O14757,>O14920,>O14965,>O15075,>O15111,>O15264,>O15530,>O43293,>O43741,>O43781,>O60285,>O75582,>O75676,>O94806,>O96013,>O96017,>P04049,>P04629,>P05129,>P05771,>P06239,>P06241,>P06493,>P07332,>P07947,>P07948,>P08631,>P09769,>P11309,>P11362,>P11802,>P12931,>P15056,>P15735,>P16591,>P17252,>P17612,>P19784,>P21802,>P22455,>P22607,>P22612,>P22694,>P23443,>P24723,>P24941,>P27361,>P27448,>P28482,>P29376,>P30291,>P30530,>P31749,>P31751,>P34947,>P36507,>P41240,>P41279,>P41743,>P42679,>P42685,>P43403,>P43405,>P45983,>P45984,>P48729,>P48730,>P49137,>P49336,>P49674,>P49759,>P49760,>P49840,>P49841,>P50613,>P50750,>P51451,>P51617,>P51812,>P51813,>P51817,>P51955,>P51957,>P52564,>P53350,>P53667,>P53778,>P53779,>P54619,>P54646,>P67870,>P68400,>P78368,>Q00534,>Q00535,>Q02156,>Q02750,>Q02779,>Q04759,>Q04771,>Q05513,>Q05655,>Q06187,>Q06418,>Q08881,>Q12851,>Q13131,>Q13153,>Q13177,>Q13188,>Q13237,>Q13554,>Q13555,>Q13557,>Q13627,>Q13882,>Q13976,>Q14012,>Q14164,>Q14680,>Q15078,>Q15118,>Q15139,>Q15418,>Q15759,>Q16288,>Q16512,>Q16539,>Q16566,>Q16584,>Q16620,>Q16644,>Q7KZI7,>Q86V86,>Q8IU85,>Q8IW41,>Q8NE63,>Q8TDC3,>Q96GD4,>Q96KB5,>Q96L34,>Q96PF2,>Q96RR4,>Q96SB4,>Q9BUB5,>Q9BWU1,>Q9BXA7,>Q9BZL6,>Q9H0K1,>Q9H3Y6,>Q9H4B4,>Q9HAZ1,>Q9HBH9,>Q9HBY8,>Q9HC98,>Q9HCP0,>Q9NR20,>Q9NWZ3,>Q9NYL2,>Q9P1W9,>Q9P289,>Q9UBE8,>Q9UBF8,>Q9UBS0,>Q9UEE5,>Q9UGI9,>Q9UGJ0,>Q9UHD2,>Q9UQM7,>Q9Y243,>Q9Y463,>Q9Y478,>Q9Y4K4,>Q9Y6M4
CHEMBL1087421,11.1,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,10.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.1,12.199999035,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,12.999992935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.200000128,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1088633,11.1,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,10.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.1,11.999998417,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,12.85000321,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.200000128,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1090360,12.1,11.999998417,nan,nan,12.11610018,nan,13.364454549,11.1,nan,12.11610018,11.500000186,12.192825032,nan,nan,nan,11.800000504,nan,11.599999679,12.12524764,12.175286885,nan,12.14899771,12.11610018,nan,13.564222704,12.702059991,12.11610018,11.800000504,nan,14.15628887,nan,nan,12.112837225,12.499996913,nan,13.00201185,nan,11.400000202,11.900000875,nan,11.200000128,nan,nan,nan,nan,nan,nan,11.300000237,12.1,11.200000128,nan,11.300000237,12.11610018,nan,nan,nan,nan,12.11610018,nan,nan,nan,nan,11.400000202,11.800000504,13.600038134,nan,12.299998172,12.699997654,13.699980365,11.300000237,12.361695118,11.200000128,nan,nan,nan,11.200000128,12.131552515,12.23914734,nan,nan,13.059548623,11.200000128,11.200000128,nan,11.900000875,12.720602702,11.300000237,nan,12.11610018,nan,12.120173444,nan,nan,nan,nan,11.300000237,11.200000128,nan,12.112837225,nan,nan,nan,nan,nan,11.200000128,12.11610018,nan,11.800000504,12.175286885,13.200015437,11.900000875,12.494769328,nan,12.404043831,11.900000875,11.200000128,11.300000237,11.300000237,12.120173444,nan,11.800000504,11.200000128,nan,11.900000875,nan,nan,nan,nan,nan,11.999998417,nan,nan,nan,nan,12.12524764,12.112837225,11.200000128,11.200000128,nan,11.900000875,12.599996932,11.1,12.975106775,11.1,nan,11.900000875,nan,11.500000186,nan,nan,11.900000875,12.11610018,nan,12.199999035,12.11610018,11.1,nan,11.1,nan,11.300000237,11.200000128,11.1,12.799991797,12.175286885,nan,nan,nan,nan,11.500000186,nan,nan,nan,nan,12.112837225,nan,nan,14.400162274,11.300000237
CHEMBL1688215,11.1,nan,nan,nan,11.1,nan,12.504466153,nan,13.1,nan,12.515897595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.297910742,nan,12.652841969,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.497940009,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.579210217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1765781,12.1,nan,nan,nan,12.1,nan,12.1,nan,12.1,nan,nan,12.1,nan,nan,nan,12.1,nan,nan,nan,nan,11.798970004,nan,nan,12.1,12.40980392,12.1,12.1,12.1,12.1,12.1,12.1,nan,12.1,nan,nan,13.020818754,nan,nan,12.1,nan,nan,nan,nan,12.1,nan,nan,nan,12.1,nan,nan,11.798970004,nan,11.798970004,nan,nan,nan,12.1,nan,nan,nan,12.1,12.1,nan,nan,nan,11.798970004,nan,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1,nan,nan,nan,nan,nan,12.1,nan,nan,nan,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1,nan,11.798970004,nan,nan,nan,12.1,nan,14.25490196,nan,nan,nan,nan,12.1,nan,nan,nan,nan,12.1,nan,nan,nan,nan,nan,nan,nan,nan,12.1,12.1,nan,nan,12.1,12.1,nan,nan,nan,nan,nan,12.1,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1,nan,nan,nan,nan,nan,nan,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1,nan,nan,nan,nan,nan,nan
CHEMBL1929238,10.821246399,nan,nan,nan,10.622878745,10.622878745,10.622878745,nan,nan,10.622878745,nan,10.594850022,nan,nan,10.622878745,10.622878745,10.622878745,nan,10.622878745,10.622878745,nan,10.637602002,10.622878745,10.608864383,10.622878745,10.622878745,10.622878745,10.622878745,10.622878745,10.466531544,10.622878745,10.622878745,10.622878745,10.622878745,nan,10.622878745,nan,10.622878745,10.622878745,10.622878745,nan,nan,10.622878745,10.622878745,10.622878745,nan,nan,10.798970004,10.622878745,10.622878745,10.622878745,nan,10.622878745,nan,nan,10.622878745,10.622878745,10.622878745,10.622878745,nan,10.622878745,nan,nan,nan,nan,10.622878745,10.622878745,10.622878745,11.108773924,10.622878745,nan,10.622878745,nan,nan,nan,nan,nan,10.622878745,nan,10.622878745,10.622878745,10.622878745,nan,10.622878745,10.622878745,nan,nan,nan,10.622878745,nan,10.622878745,10.622878745,nan,nan,nan,10.622878745,nan,nan,10.622878745,nan,nan,nan,10.622878745,nan,nan,10.923908741,10.622878745,nan,nan,nan,nan,nan,10.622878745,10.622878745,nan,11.668636236,nan,11.020818754,nan,10.622878745,10.622878745,nan,nan,nan,10.622878745,10.622878745,10.622878745,10.622878745,13.401029996,nan,nan,13.757577319,nan,nan,11.160480747,10.622878745,10.622878745,nan,nan,10.622878745,nan,10.622878745,nan,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,10.622878745,nan,10.622878745,nan,10.622878745,nan,nan,10.622878745,nan,nan,10.622878745,nan,10.622878745,nan,nan,nan,nan
CHEMBL1933552,10.622878745,nan,nan,nan,10.622878745,10.622878745,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,10.622878745,nan,10.622878745,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,10.743974143,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,nan,nan,10.622878745,nan,nan,10.723423043,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.861953897,10.622878745,nan,nan,nan,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.622878745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL202930,10.401029996,nan,nan,nan,14.28282766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.762940274,nan,nan,10.401029996,nan,nan,nan,10.401029996,nan,nan,nan,nan,nan,nan,nan,nan,10.401029996,nan,nan,nan,nan,nan,10.401029996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.401029996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.401029996,10.401029996,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.401029996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL204420,11.1,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,11.1,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,11.1,nan,nan
CHEMBL206783,11.1,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,11.1,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,nan,nan,11.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1,11.1,nan,nan,nan,nan,11.1,nan,nan
