,original_id,sequence_length
b046e3c5e96d0b0813ecddd2ed9d997e,P67870,215
0c797fb41dedad836ac1052c22bda398,Q9Y478,270
fe1dcdf4ea779cd28e751c2a82bad985,O43741,272
cffe1e33249ca6a4834688b9150248c3,Q00535,292
c5f024db8fdfc09c76e40635fc0aa6f1,P06493,297
e738af340c97db8838eaaca382c140e1,P24941,298
f2274c019b864269cc028c5a676ebcb7,P11802,303
0e87cf141203a6533fc1d85ac983a48e,Q15078,307
68b99c3e1ac5798d34d84de46a1bf420,Q9P1W9,311
62e9af939ba47084598b1661c0691b0e,Q9HC98,313
0a086aea9f0b3c646005c57bc108a159,Q96KB5,322
a0bab246e837d91d518adc4b9f800d53,Q00534,326
8327a2021ef972c9fd08b00c654310be,Q86V86,326
376bfa2878247205f0999d74cb402acd,P54619,331
6a0ad3089d5b24496d0b195f03858630,P52564,334
9fe8ffab125eb4793d7239317e2eac60,P48729,337
a2092d9052d9794255e32e8e525ff988,Q96GD4,344
efac0ba2abc8f0b14c6b6689a0f2d676,P50613,346
e1b98e9e9860af72c52228381c77726c,P19784,350
f9f01faa42b67ad656136609dacd4e9a,P17612,351
4550f9cfccb51107db6efc6b2c86ccad,P22612,351
c636ab9e52c09404269d250fc260150c,P22694,351
55d9582b969948fcda3098f410b53e15,P51817,358
e6c3d587825578ccf264ba21238dcc0d,Q96PF2,358
ccb174681d880da0eae8c0c11a73434c,P28482,360
4f35ee5c7e10d2f8f66e8580cd2f9708,Q16539,360
13340b7f92d71f6bb33b5af0d941e3cd,Q15759,364
6d2bb91dbb2abcc6f0a39c6a23d7470b,O15264,365
207ff9b2e988830b7209136c4183bbdc,P53778,367
8796575e0fb5dd7e832a65b1b3995fab,Q9BXA7,367
7948b05b7667086c771b5ab7aeb51f78,Q14012,370
2dec54fb2329f1ded5671e4a5c94123e,P50750,372
8501faf469e77a9fbdc0166f5a18bcf6,P27361,379
3407dbc5fc7a21bc59aae21aa8706f35,Q16644,382
82c96c351a3b58cbca8fed3796ac306a,Q8IU85,385
3452da2573da72752e984aad8a035a38,P68400,391
f551ff58c2776de1376b4f8830643b0f,Q02750,393
295f0645dd81840477341044a84d1c19,P36507,400
159c047122396b5e4be8f9058d812929,P49137,400
fd362a797e55160e725e287cda5b74d0,O14965,403
d71aca87c9c759db458a90aeca532e01,P11309,404
8f82952583ef414ea4f7db2782a30fe6,P15735,406
2d08539d96bfcf232fef5c4c1b6fdb30,Q9UEE5,414
f6cb250af125a396596a42297e16bc0a,P48730,415
986a9393aebc695a16c7b3e597670046,P78368,415
7f34fb4ef08d9050f8fe27c6d6f995bb,P49674,416
1b3c30c557eb4bf28243fad1bdd2c8b3,Q9P289,416
e93d83c1970d960dfc0bf3c997157eef,P49841,420
83fdf9dc3039c42339bc941a0847a1c3,Q9HCP0,422
344a92c32093386f463765b4fc3583fb,P45984,424
b89f0ae73bbb390fff82f35e5b453aa1,P45983,427
1c1f56abb0b537856896580cfd44d9df,Q9HBY8,427
2f8966ae432b96db8f45f9f59be26c50,O00141,431
6ebb0e3426d1842c69d1c5a6b6ead01d,Q15118,436
b7eba0f2f92ad245dc0cdafc864b37bd,P51955,445
bb69344caee31e39f3db73bccdcb9171,Q9Y6M4,447
64016a73cb830d06c4225bede18f3ee5,P41240,450
6402bc6a0f336e0ccb7bf6035eb7eca6,Q13882,451
c6dd47aaa3c538d2e544de17a6cc3b70,O43293,454
7268c70554be57a866fd90ed8056f69b,Q9NWZ3,460
ffa33b20a6193bbcabaca30bbccb53be,P49336,464
aa5ebc040a73c561149ab7792b896666,P53779,464
c9be1bd12301019f6ee750057c8bf2d3,Q9BUB5,465
092ddc60cd051dfc46de654c56f0466b,Q9HBH9,465
f1701dafc1369a3826b6794b953f53db,P41279,467
52f3eb8fa3a33513cddf950ecbd2a286,Q16566,473
9b3df9d8c08648f9bf86bb4f40823ca9,Q8IW41,473
a7304385fbc7627192b1408cd0b46dda,O14757,476
396fb1c0679818238c7a4f02b2f5483e,Q9UQM7,478
9c8ee75c7abd6c87bd994f32741fc53c,Q9Y243,479
1620296e269940b19bafa78ca71e003a,P31749,480
1dd26f451aea463f58467576eff14899,P31751,481
b1a5f8955722032e01871e8bd04716cd,Q9HAZ1,481
7b57e98fbef6b0f248ea172b8de1f3f1,Q9UBS0,482
e9f351ecc03c35f79f2e8f3612d09fae,P49840,483
eb68eedd814790f1bcd916dd9ff50be2,P49759,484
c26ff33bdbe0e78410bbdb19e92c5ab8,Q9H3Y6,488
7e0c305ab4c9f3d915f0c581bc7f0a7a,Q9UGI9,489
50ff5c8e696e1310ea19fdc4c894ebc3,Q13188,491
3f490da953d0c1399bcf00f7a6746b5e,P49760,499
588a9529ca3945950ab346adc729f62b,Q13557,499
44f844fe30f2e4338cf57ed9d1f5f6c3,Q9BWU1,502
b526ef4440d1c76fc1077b8176a15081,P42685,505
463416708d3e33694dfdfeca60b1b2b1,P51451,505
997284a844c2ac28a5afc67b8226f17b,P42679,507
4da4a28a5ddea0c62c113e19a4a784f7,P06239,509
a96cc1fde4a63ebc48b949b16e580fc2,Q04771,509
eb452f495b6f82c2b40124948382f85d,P07948,512
5bd62d3b64f1a9bb17b2f54d4bb6c72f,Q9NR20,520
8df8e84eba129585f62ad70d760b1689,Q13177,524
7c70ba1d36e2a071b194f662aeb256d0,P23443,525
c699ae0a92fc5cd855420130fb067bab,P08631,526
cf3cb484bd512a68f0d48eb1cc28c895,Q9UBE8,527
408c333701ec7e889d495aeb32d7ae10,P09769,529
b34856872be278010271203e00bee542,P12931,536
a4554222869c00fd751dc364e23f6a4d,P06241,537
d4bfe45a8f3d01cbf5eac244d893ba1a,O96017,543
cfa5e46a13b97a4e61374b1180cfc383,P07947,543
3e8d19052b87de5bfc4954b226c2ff8f,Q13153,545
d2338540fce8e2755f238b1d5066a1a4,P54646,552
2aeabf3a06284a441e14dd03449bb30b,O15530,556
d963c8f9d6e36940b564cbd1087ef21a,Q13555,558
676dc3992822c9654f4f67c3eea7f843,Q13131,559
4fb77ade2f844d9942b1c817eb1d27eb,Q9UGJ0,569
c8aef912151560fbebc249127ed7f721,O00311,574
29431a5eea14745d791fbe7f935d5ea5,O43781,588
23f08ee4173e567e6519e62e221a89a5,Q96RR4,588
46cfb179d715d72258dfc79080f07744,P34947,590
22b838d24d13b1a0768a8c4750a19051,O96013,591
b70ca5932565c6b507515b708fa01636,Q05513,592
955a0b1f912681537125328f43c515c6,P41743,596
64384450345881b482b0cb08336f85ee,P53350,603
59ea148c699183003a9d8d3640b25a20,Q8NE63,616
e3b2d80f9b7f4b32b0d58fa7a52e2d11,P43403,619
bc739105238eb6e59a00ef883d06430b,Q08881,620
8be8a7f8e1c9ca3efbd704414e0c0723,Q9Y463,629
17dbd30c3a3ccb7420537914a95d3f54,P43405,635
e743d94c91159706cdbd2f2d54625ce6,P30291,646
f4d8af21819414fddabe0b9f660a4c04,Q9H4B4,646
34b17396116c8742909b0facca8bd675,P53667,647
d231d020cb5d921e3a7c5bbe10089245,P04049,648
6b8130cbabd4a6cf226098056d1e81c3,Q14680,651
05bd88ca5f9f9aee47d59eea7c9b344c,Q96SB4,655
cdc1eb3031dbbbad38e0ebfbc0fd30bd,Q06187,659
572e4a542b2a0965f318925d94d9bd0d,O60285,661
14af4e847b53f1b22ddeeb4d1ea574ed,Q13554,666
18d18d3a04be6e5ea9c24762d94d5fa1,P05771,671
e13d4905ae105519cb314d29bda73ee9,Q13976,671
f1e89aa299309140e47590a95eb78c41,P17252,672
9c91e351def88da35f1a3e60c94dfb6b,P51813,675
c30946c08ab398346fe2e6bd336ca8f4,Q05655,676
5ebf32ad0fac45c779a41a908f76a94b,P24723,683
3d5a3dae8020a80a3d8385a58ef6dba7,P05129,697
bffe28f8aa424873f7864a842f842f72,Q04759,706
7c465f9a42dc946204c257c884beda6a,P51617,712
d7cb57dfd70769758593c4ff8882c5dd,Q14164,716
11deef90edba1eeda75abea0265ab5d9,O00418,725
ea019cf79d039a451dece6c8a25e0050,Q9UHD2,729
b042873d6b5cb29dcaf26721af6c5995,Q15418,735
d7ee634af51ee43a99fa384563ca54f2,Q02156,737
21fdbad11ae64c4589b0b46f797f4a35,O15075,740
805bae60f57cdd008ca3aa26c44edba9,P51812,740
446ab468a56cbcddbfa576a3fe4f3a6a,O15111,745
8cfa04da6ce00d2a070a4ba9e758c1a3,Q96L34,752
9559d4e8c7e80364001b76384c4ca702,P27448,753
8b8f623e72b89495992f31c451969829,O14920,756
9d86072d7de176f6bd300aeb3f1a84a9,Q13237,762
a6d5668e6f8a2e8004fd184d3d35af31,Q13627,763
74c9b69323bd112084c1b5b385e7e6c5,P15056,766
e855d2b1a5703611f79ea65ce6f048da,O75676,772
a344473aeb2d246c0679969778ba5145,Q8TDC3,778
623517a1f4c11124fed81195b66db89e,Q7KZI7,788
4a99a7644710818e8173e9bbb71bee17,P04629,796
5513e71898116cb80bd20c78c2d37f1a,Q9NYL2,800
ef4bde4c2bdf1b63842a0c77e84fc437,O75582,802
0c799cd8eb4a963b013291894bf69e69,P22455,802
632616f7ccb30252cd89afba2784beec,P22607,806
5468b76ef67ee32a99c84edd63e82b88,Q9UBF8,816
9ece8f2e893fcfdd0f35522f09dbaf3d,Q12851,820
8278583234a3eda2a192d8bb50e1fab8,P21802,821
d7b557e3c789e6436b0e0c7ca23ef7e0,P07332,822
